track_name,track_artist,track_popularity,id,playlist_genre,uri,duration_ms,acousticness,energy
Born to Run,Bruce Springsteen,70,6hTcuIQa0sxrrByu9wTD7s,rock,spotify:track:6hTcuIQa0sxrrByu9wTD7s,269920,0.00501,0.944
Unforgettable,Nat King Cole,69,648TTtYB0bH0P8Hfy0FmkL,jazz,spotify:track:648TTtYB0bH0P8Hfy0FmkL,191973,0.92,0.182
"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato","Pyotr Ilyich Tchaikovsky, André Previn, London Symphony Orchestra",68,2xizRhme7pYeITbH1NLLGt,classical,spotify:track:2xizRhme7pYeITbH1NLLGt,166867,0.911,0.164
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven, Paul Lewis",68,3DNRdudZ2SstnDCVKFdXxG,classical,spotify:track:3DNRdudZ2SstnDCVKFdXxG,315427,0.995,0.00527
Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",75,1BncfTJAWxrsxyT9culBrj,classical,spotify:track:1BncfTJAWxrsxyT9culBrj,315427,0.934,0.449
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",88,3tFed7YsjGnIfxeLEQwx3R,hip-hop,spotify:track:3tFed7YsjGnIfxeLEQwx3R,255916,0.285,0.812
HIM ALL ALONG,Gunna,76,2EKL77lwxvo615Ga7VjEUl,hip-hop,spotify:track:2EKL77lwxvo615Ga7VjEUl,158667,0.195,0.507
Leave Me Alone,BigXthaPlug,71,4CkbpelT92r4dVkceDX9g1,hip-hop,spotify:track:4CkbpelT92r4dVkceDX9g1,143778,0.0311,0.802
PLUTOSKI,Future,73,2t4H61OtTYgmDe61KxkjKH,hip-hop,spotify:track:2t4H61OtTYgmDe61KxkjKH,179023,0.14,0.533
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",92,1Es7AUAhQvapIcoh3qMKDL,hip-hop,spotify:track:1Es7AUAhQvapIcoh3qMKDL,256000,0.0584,0.722
WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",78,5xeSd4HgzrYpNLEf3LfYLK,hip-hop,spotify:track:5xeSd4HgzrYpNLEf3LfYLK,149461,0.00449,0.684
Insecurities,Lil Baby,70,6afQ4fJDJ9QqU5BKIH99Ej,hip-hop,spotify:track:6afQ4fJDJ9QqU5BKIH99Ej,127154,0.00502,0.642
Gang Baby,NLE Choppa,72,76Ku9OBFK1NjMylR8r4WLK,hip-hop,spotify:track:76Ku9OBFK1NjMylR8r4WLK,138180,0.00768,0.699
NEW DROP,Don Toliver,85,2c7z5oRcPBbqRaBY2mLWcf,hip-hop,spotify:track:2c7z5oRcPBbqRaBY2mLWcf,217333,0.189,0.628
Help Me,Real Boston Richey,73,487JCvAXVblflZyDJn3fSp,hip-hop,spotify:track:487JCvAXVblflZyDJn3fSp,181166,0.155,0.709
No Face,Drake,78,1560osUcXrnov6yuOjXvc1,hip-hop,spotify:track:1560osUcXrnov6yuOjXvc1,137143,0.0771,0.69
LIL DEMON,Future,77,3aCPResPDNae3pXTocGpYe,hip-hop,spotify:track:3aCPResPDNae3pXTocGpYe,139197,0.00125,0.754
2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow",69,62oLxos6R04SVYL1lXidvu,hip-hop,spotify:track:62oLxos6R04SVYL1lXidvu,159228,0.029,0.4
Sorry Not Sorry,"Lil Yachty, Veeze",70,4lwfqyQXSDJ7kELpMErMih,hip-hop,spotify:track:4lwfqyQXSDJ7kELpMErMih,136709,0.247,0.509
ALL RED,Playboi Carti,81,2cZOYofOX4d6g0OXxkaIjA,hip-hop,spotify:track:2cZOYofOX4d6g0OXxkaIjA,148053,0.109,0.663
I CAN’T LET GO,"Lil Tecca, Don Toliver",73,1Ftb0PK0Qqwax3gofiMd2X,hip-hop,spotify:track:1Ftb0PK0Qqwax3gofiMd2X,150204,0.00694,0.761
Chill Bae,Lil Uzi Vert,76,4ppKM7xnkSAwSyKqD4QTY4,hip-hop,spotify:track:4ppKM7xnkSAwSyKqD4QTY4,138324,0.112,0.663
